"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"2021","Senior-level/Expert","Full-time","Data Analytics Engineer",50000.00,"USD",50000.00,"VN",100,"GB","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",4000.00,"USD",4000.00,"IR",100,"IR","Medium Company"
"2020","Entry-level/Junior","Full-time","Data Scientist",35000.00,"EUR",39916.00,"FR",0,"FR","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Lead Data Analyst",87000.00,"USD",87000.00,"US",100,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",150000.00,"USD",150000.00,"US",100,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Science Consultant",103000.00,"USD",103000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Data Engineering Manager",153000.00,"USD",153000.00,"US",100,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",90000.00,"USD",90000.00,"US",100,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Data Analyst",90000.00,"USD",90000.00,"US",100,"US","Small Company"
"2021","Entry-level/Junior","Full-time","Data Analyst",60000.00,"USD",60000.00,"US",100,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",50000.00,"USD",50000.00,"NG",100,"NG","Large Company"
"2021","Entry-level/Junior","Part-time","AI Scientist",12000.00,"USD",12000.00,"PK",100,"US","Medium Company"
"2021","Mid-level/Intermediate","Part-time","3D Computer Vision Researcher",400000.00,"INR",5423.00,"IN",50,"IN","Medium Company"
"2021","Mid-level/Intermediate","Contract","ML Engineer",270000.00,"USD",270000.00,"US",100,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Applied Data Scientist",68000.00,"CAD",54376.00,"GB",50,"CA","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",22000.00,"EUR",26224.00,"RO",0,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Data Science Consultant",54000.00,"EUR",64369.00,"DE",50,"DE","Large Company"
"2020","Senior-level/Expert","Full-time","Data Scientist",60000.00,"EUR",68428.00,"GR",100,"US","Large Company"
"2021","Executive-level/Director","Full-time","Head of Data Science",85000.00,"USD",85000.00,"RU",0,"RU","Medium Company"
"2021","Executive-level/Director","Full-time","Head of Data",230000.00,"USD",230000.00,"RU",50,"RU","Large Company"
"2021","Entry-level/Junior","Full-time","Machine Learning Engineer",125000.00,"USD",125000.00,"US",100,"US","Small Company"
"2021","Senior-level/Expert","Full-time","Data Analytics Manager",120000.00,"USD",120000.00,"US",100,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Research Scientist",450000.00,"USD",450000.00,"US",0,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Analyst",41000.00,"EUR",46759.00,"FR",50,"FR","Large Company"
"2020","Mid-level/Intermediate","Full-time","Data Engineer",65000.00,"EUR",74130.00,"AT",50,"AT","Large Company"
"2021","Senior-level/Expert","Full-time","Data Science Engineer",159500.00,"CAD",127543.00,"CA",50,"CA","Large Company"
"2021","Senior-level/Expert","Full-time","Manager Data Science",144000.00,"USD",144000.00,"US",100,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Data Scientist",13400.00,"USD",13400.00,"UA",100,"UA","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",95000.00,"CAD",75966.00,"CA",100,"CA","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",76760.00,"EUR",91500.00,"DE",50,"DE","Large Company"
"2021","Mid-level/Intermediate","Full-time","Big Data Engineer",1672000.00,"INR",22671.00,"IN",0,"IN","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",420000.00,"INR",5695.00,"IN",100,"US","Small Company"
"2021","Entry-level/Junior","Full-time","Machine Learning Engineer",81000.00,"USD",81000.00,"US",50,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",30400000.00,"CLP",40798.00,"CL",100,"CL","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",58000.00,"MXN",2876.00,"MX",0,"MX","Small Company"
"2021","Entry-level/Junior","Full-time","Data Science Consultant",90000.00,"USD",90000.00,"US",100,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",52000.00,"EUR",61985.00,"DE",50,"AT","Medium Company"
"2021","Senior-level/Expert","Full-time","Machine Learning Infrastructure Engineer",195000.00,"USD",195000.00,"US",100,"US","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",32000.00,"EUR",38144.00,"ES",100,"ES","Large Company"
"2020","Mid-level/Intermediate","Full-time","Data Analyst",85000.00,"USD",85000.00,"US",100,"US","Large Company"
"2021","Executive-level/Director","Contract","Principal Data Scientist",416000.00,"USD",416000.00,"US",100,"US","Small Company"
"2021","Senior-level/Expert","Full-time","Machine Learning Scientist",225000.00,"USD",225000.00,"US",100,"CA","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",40900.00,"GBP",56578.00,"GB",50,"GB","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",2500000.00,"INR",33899.00,"IN",0,"IN","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",85000.00,"GBP",117583.00,"GB",50,"GB","Large Company"
"2021","Mid-level/Intermediate","Full-time","Machine Learning Engineer",180000.00,"PLN",47129.00,"PL",100,"PL","Large Company"
"2020","Mid-level/Intermediate","Full-time","Data Analyst",8000.00,"USD",8000.00,"PK",50,"PK","Large Company"
"2020","Entry-level/Junior","Full-time","Data Engineer",4450000.00,"JPY",41689.00,"JP",100,"JP","Small Company"
"2020","Senior-level/Expert","Full-time","Big Data Engineer",100000.00,"EUR",114047.00,"PL",100,"GB","Small Company"
"2021","Mid-level/Intermediate","Full-time","Machine Learning Engineer",75000.00,"EUR",89402.00,"BE",100,"BE","Medium Company"
"2020","Entry-level/Junior","Full-time","Data Science Consultant",423000.00,"INR",5707.00,"IN",50,"IN","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Lead Data Engineer",56000.00,"USD",56000.00,"PT",100,"US","Medium Company"
"2021","Entry-level/Junior","Part-time","Computer Vision Engineer",180000.00,"DKK",28850.00,"DK",50,"DK","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",75000.00,"EUR",89402.00,"DE",50,"DE","Large Company"
"2020","Mid-level/Intermediate","Full-time","Machine Learning Engineer",299000.00,"CNY",43331.00,"CN",0,"CN","Medium Company"
"2021","Senior-level/Expert","Full-time","Principal Data Engineer",185000.00,"USD",185000.00,"US",100,"US","Large Company"
"2020","Entry-level/Junior","Full-time","Data Scientist",55000.00,"EUR",62726.00,"DE",50,"DE","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",76760.00,"EUR",91500.00,"DE",50,"DE","Large Company"
"2020","Entry-level/Junior","Part-time","Data Scientist",19000.00,"EUR",21669.00,"IT",50,"IT","Small Company"
"2020","Mid-level/Intermediate","Full-time","Data Engineer",110000.00,"USD",110000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Data Analytics Manager",140000.00,"USD",140000.00,"US",100,"US","Large Company"
"2020","Senior-level/Expert","Full-time","Data Scientist",120000.00,"USD",120000.00,"US",50,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Data Scientist",110000.00,"CAD",87961.00,"CA",100,"CA","Small Company"
"2021","Senior-level/Expert","Full-time","Finance Data Analyst",45000.00,"GBP",62250.00,"GB",50,"GB","Large Company"
"2021","Mid-level/Intermediate","Freelance","Machine Learning Scientist",12000.00,"USD",12000.00,"PK",50,"PK","Medium Company"
"2021","Senior-level/Expert","Full-time","Data Engineer",65000.00,"EUR",77481.00,"RO",50,"GB","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",130000.00,"USD",130000.00,"US",50,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Principal Data Scientist",151000.00,"USD",151000.00,"US",100,"US","Large Company"
"2020","Entry-level/Junior","Full-time","Data Scientist",105000.00,"USD",105000.00,"US",100,"US","Small Company"
"2020","Entry-level/Junior","Contract","Business Data Analyst",100000.00,"USD",100000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Data Science Manager",7000000.00,"INR",94917.00,"IN",50,"IN","Large Company"
"2020","Mid-level/Intermediate","Full-time","Product Data Analyst",450000.00,"INR",6072.00,"IN",100,"IN","Large Company"
"2020","Senior-level/Expert","Full-time","Data Engineer",42000.00,"EUR",47899.00,"GR",50,"GR","Large Company"
"2020","Mid-level/Intermediate","Full-time","BI Data Analyst",98000.00,"USD",98000.00,"US",0,"US","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",48000.00,"GBP",66400.00,"HK",50,"GB","Small Company"
"2021","Mid-level/Intermediate","Full-time","Research Scientist",48000.00,"EUR",57217.00,"FR",50,"FR","Small Company"
"2021","Mid-level/Intermediate","Full-time","Machine Learning Engineer",21000.00,"EUR",25032.00,"SI",50,"SI","Large Company"
"2021","Senior-level/Expert","Full-time","Data Analytics Manager",120000.00,"USD",120000.00,"US",0,"US","Large Company"
"2021","Mid-level/Intermediate","Freelance","Data Engineer",20000.00,"USD",20000.00,"IT",0,"US","Large Company"
"2020","Executive-level/Director","Full-time","Director of Data Science",325000.00,"USD",325000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Machine Learning Engineer",200000.00,"USD",200000.00,"US",100,"US","Large Company"
"2020","Entry-level/Junior","Full-time","AI Scientist",300000.00,"DKK",45896.00,"DK",50,"DK","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",160000.00,"USD",160000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Research Scientist",50000.00,"USD",50000.00,"FR",100,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Science Engineer",34000.00,"EUR",40529.00,"GR",100,"GR","Medium Company"
"2021","Executive-level/Director","Full-time","Principal Data Engineer",600000.00,"USD",600000.00,"US",100,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",69600.00,"BRL",13000.00,"BR",0,"BR","Small Company"
"2021","Mid-level/Intermediate","Full-time","Machine Learning Engineer",74000.00,"USD",74000.00,"JP",50,"JP","Small Company"
"2021","Senior-level/Expert","Full-time","Data Science Manager",152000.00,"USD",152000.00,"US",100,"FR","Large Company"
"2021","Mid-level/Intermediate","Full-time","Big Data Engineer",18000.00,"USD",18000.00,"MD",0,"MD","Small Company"
"2020","Senior-level/Expert","Freelance","Computer Vision Engineer",60000.00,"USD",60000.00,"RU",100,"US","Small Company"
"2021","Senior-level/Expert","Full-time","Data Engineer",165000.00,"USD",165000.00,"US",0,"US","Medium Company"
"2021","Entry-level/Junior","Full-time","Big Data Engineer",435000.00,"INR",5898.00,"IN",0,"CH","Large Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",37000.00,"EUR",42197.00,"FR",50,"FR","Small Company"
"2021","Senior-level/Expert","Full-time","Computer Vision Engineer",102000.00,"BRL",19052.00,"BR",0,"BR","Medium Company"
"2021","Entry-level/Junior","Full-time","Business Data Analyst",50000.00,"EUR",59601.00,"LU",100,"LU","Large Company"
"2021","Senior-level/Expert","Full-time","Principal Data Scientist",147000.00,"EUR",175228.00,"DE",100,"DE","Medium Company"
"2020","Senior-level/Expert","Full-time","Principal Data Scientist",130000.00,"EUR",148261.00,"DE",100,"DE","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",34000.00,"EUR",38776.00,"ES",100,"ES","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",39600.00,"EUR",47204.00,"ES",100,"ES","Medium Company"
"2021","Entry-level/Junior","Full-time","Data Scientist",4000.00,"USD",4000.00,"VN",0,"VN","Medium Company"
"2021","Entry-level/Junior","Full-time","AI Scientist",1335000.00,"INR",18102.00,"IN",100,"AS","Small Company"
"2020","Senior-level/Expert","Full-time","Data Scientist",80000.00,"EUR",91237.00,"AT",0,"AT","Small Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",55000.00,"EUR",62726.00,"FR",50,"LU","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",115000.00,"USD",115000.00,"US",50,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Principal Data Scientist",235000.00,"USD",235000.00,"US",100,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Lead Data Analyst",1450000.00,"INR",19661.00,"IN",100,"IN","Large Company"
"2021","Entry-level/Junior","Part-time","AI Scientist",12000.00,"USD",12000.00,"BR",100,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Analyst",75000.00,"USD",75000.00,"US",0,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Analyst",62000.00,"USD",62000.00,"US",0,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",73000.00,"USD",73000.00,"US",0,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",38400.00,"EUR",45773.00,"NL",100,"NL","Large Company"
"2020","Senior-level/Expert","Full-time","Data Science Manager",190200.00,"USD",190200.00,"US",100,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",118000.00,"USD",118000.00,"US",100,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",138350.00,"USD",138350.00,"US",100,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Engineer",130800.00,"USD",130800.00,"ES",100,"US","Medium Company"
"2020","Senior-level/Expert","Full-time","Machine Learning Engineer",40000.00,"EUR",45618.00,"HR",100,"HR","Small Company"
"2021","Senior-level/Expert","Full-time","Director of Data Science",168000.00,"USD",168000.00,"JP",0,"JP","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",160000.00,"SGD",119353.00,"SG",100,"IL","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Applied Machine Learning Scientist",423000.00,"USD",423000.00,"US",50,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",24000.00,"EUR",28608.00,"MT",50,"MT","Large Company"
"2021","Senior-level/Expert","Full-time","Data Specialist",165000.00,"USD",165000.00,"US",100,"US","Large Company"
"2020","Senior-level/Expert","Full-time","Data Scientist",412000.00,"USD",412000.00,"US",100,"US","Large Company"
